ORGANIZATION_CODE,template_name,item_SEGMENT1,DESCRIPTION,PRIMARY_UOM_CODE,PURCHASING_ITEM_FLAG,PURCHASING_ENABLED_FLAG,PROCESS_FLAG
SIO,@Product Family,123071,Morison Baby Diaper - M (Buy 2 Get Rs.30.00 Off),ECH,Y,Y,N
SIO,@Product Family,123621,Morison Baby Diaper - M (Buy 3 Get 1 Free),ECH,Y,Y,N
SIO,@Product Family,123620,Morison Baby Diaper - S (Buy 3 Get 1 Free),ECH,Y,Y,N
SIO,@Product Family,123623,Morison Baby Diaper - XL (Buy 3 Get 1 Free),ECH,Y,Y,N
SIO,@Product Family,115757,Morisons baby Diapers-Large,ECH,Y,Y,N
SIO,@Product Family,125383,Morisons baby Diapers-Large (15% Off),ECH,Y,Y,N
SIO,@Product Family,115756,Morisons baby Diapers-Medium,ECH,Y,Y,N
SIO,@Product Family,125384,Morisons baby Diapers-Medium (15% Off),ECH,Y,Y,N
SIO,@Product Family,115755,Morisons baby Diapers-Small,ECH,Y,Y,N
SIO,@Product Family,115758,Morisons baby Diapers-XL,ECH,Y,Y,N
SIO,@Product Family,115702,Morrison Baby Feeding Bottle - Arc Blue -120ml,ECH,Y,Y,N
SIO,@Product Family,115705,Morrison Baby Feeding Bottle - Arc Blue -240ml,ECH,Y,Y,N
SIO,@Product Family,115704,Morrison Baby Feeding Bottle - Arc Pink -120ml,ECH,Y,Y,N
SIO,@Product Family,115703,Morrison Baby Feeding Bottle - Arc Pink -240ml,ECH,Y,Y,N
SIO,@Product Family,115706,Morrison Silicon Teat - Large -EA,ECH,Y,Y,N
SIO,@Product Family,115707,Morrison Silicon Teat - Medium -EA,ECH,Y,Y,N
SIO,@Product Family,115708,Morrison Silicon Teat - Small -EA,ECH,Y,Y,N
SIO,@Product Family,115715,Nature Secret Panda Baby Wash 100ml,ECH,Y,Y,N
SIO,@Product Family,115727,Natures Panda Baby Gift Pack -EA,ECH,Y,Y,N
SIO,@Product Family,116348,Natures Panda Baby Shampoo 100ml,ECH,Y,Y,N
SIO,@Product Family,124475,Natures Rathmal soap 04 tablets banded (Rs.20.00 off),ECH,Y,Y,N
SIO,@Product Family,113436,Pampers Large Comfort - 5s,ECH,Y,Y,N
SIO,@Product Family,113435,Pampers Medium Comfort - 5s,ECH,Y,Y,N
SIO,@Product Family,172119,Pampers Pants Large - 4s,ECH,Y,Y,N
SIO,@Product Family,172118,Pampers Pants Medium - 4s,ECH,Y,Y,N
SIO,@Product Family,172117,Pampers Pants Small - 4s,ECH,Y,Y,N
SIO,@Product Family,115743,Pampers Small - Comfort -5s,ECH,Y,Y,N
SIO,@Product Family,115744,Pampers X Large - Comfort 5s,ECH,Y,Y,N
SIO,@Product Family,171577,Panda Baby Cologne - Fairys Touch 100ml,ECH,Y,Y,N
SIO,@Product Family,171578,Panda Baby Cologne - Fairys Touch 50ml,ECH,Y,Y,N
SIO,@Product Family,115754,Panda Baby Cologne - Floral -100ml,ECH,Y,Y,N
SIO,@Product Family,115753,Panda Baby Cologne - Floral -50ml,ECH,Y,Y,N
SIO,@Product Family,171579,Panda Baby Cologne - Mothers Love 100ml,ECH,Y,Y,N
SIO,@Product Family,171580,Panda Baby Cologne - Mothers Love 50ml,ECH,Y,Y,N
SIO,@Product Family,171582,Panda Baby Cologne - Sweet Floral 50ml,ECH,Y,Y,N
SIO,@Product Family,118005,Panda Baby Cologne 100ml,ECH,Y,Y,N
SIO,@Product Family,123953,Panda Baby Cologne 100ml - Sweet Floral (Rs.30.00 Off),ECH,Y,Y,N
SIO,@Product Family,123877,Panda Baby Cologne 100ml (Buy 2 Get 1 Free),ECH,Y,Y,N
SIO,@Product Family,115726,Panda Baby Colong -50ml,ECH,Y,Y,N
SIO,@Product Family,171575,Panda Baby Cream - Rathmal Venivel 100ml,ECH,Y,Y,N
SIO,@Product Family,113389,Panda Baby Cream -100ml,ECH,Y,Y,N
SIO,@Product Family,115723,Panda Baby Cream -50ml,ECH,Y,Y,N
SIO,@Product Family,172267,Panda Baby Delum Soap - 75g,ECH,Y,Y,N
SIO,@Product Family,125108,Panda Baby Delum soap - 75gx4 (Rs.20/- off),ECH,Y,Y,N
SIO,@Product Family,172268,Panda Baby Delum Soap - Eco Pack (75gx5),ECH,Y,Y,N
SIO,@Product Family,115725,Panda Baby Shampoo -50ml,ECH,Y,Y,N
SIO,@Product Family,171576,Panda Baby Soap - Rathmal Venivel 45g,ECH,Y,Y,N
SIO,@Product Family,171581,Panda Baby Sweet Cologne - Floral -100ml,ECH,Y,Y,N
SIO,@Product Family,113214,Panda Baby Talc -100g,ECH,Y,Y,N
SIO,@Product Family,115724,Panda Baby Wash -60ml,ECH,Y,Y,N
SIO,@Product Family,116321,Pears  Baby  Herbal  Cream -100ml,ECH,Y,Y,N
SIO,@Product Family,116192,Pears  Baby Cologne - Cool  Fresh -55ml,ECH,Y,Y,N
SIO,@Product Family,113278,Pears  Baby Cologne - Magic Drops -100ml,ECH,Y,Y,N
SIO,@Product Family,113277,Pears  Baby Cologne - Magic Drops -50ml,ECH,Y,Y,N
SIO,@Product Family,122703,Pears Active Floral Multi Pack 400g,ECH,Y,Y,N
SIO,@Product Family,171150,Pears Baby Cologne - Floral 100ml,ECH,Y,Y,N
SIO,@Product Family,171149,Pears Baby Cologne - Floral 50ml,ECH,Y,Y,N
SIO,@Product Family,113280,Pears Baby Cologne - Pure & Gentle - 100ml,ECH,Y,Y,N
SIO,@Product Family,113279,Pears Baby Cologne - Pure & Gentle -50ml,ECH,Y,Y,N
SIO,@Product Family,171147,Pears Baby Cream - Floral 100ml,ECH,Y,Y,N
SIO,@Product Family,171148,Pears Baby Cream - Floral 200ml,ECH,Y,Y,N
SIO,@Product Family,113350,Pears Baby Cream -100ml,ECH,Y,Y,N
SIO,@Product Family,113351,Pears Baby Cream -200ml,ECH,Y,Y,N
SIO,@Product Family,113356,Pears Baby Cream -50ml,ECH,Y,Y,N
SIO,@Product Family,113122,Pears Baby Multy Pack -375g,ECH,Y,Y,N
SIO,@Product Family,113400,Pears Baby Oil -120ml,ECH,Y,Y,N
